id,agent,unit,group
11835,agent,unit,2
11837,agent,unit,4
11859,agent,unit,2
11858,agent,unit,3
11860,agent,unit,4
11857,agent,unit,3
23838,agent,unit,2
23839,agent,unit,2
23840,agent,unit,4
23841,agent,unit,1
23842,agent,unit,2
23843,agent,unit,3
23844,agent,unit,2
23845,agent,unit,3
23846,agent,unit,2
23847,agent,unit,3
23848,agent,unit,5
23849,agent,unit,2
23850,agent,unit,2
23851,agent,unit,2
23852,agent,unit,5
23853,agent,unit,3
23854,agent,unit,1
23855,agent,unit,1
23856,agent,unit,2
23857,agent,unit,3
23858,agent,unit,4
23859,agent,unit,1
23860,agent,unit,3
23861,agent,unit,1
23862,agent,unit,2
23863,agent,unit,4
23864,agent,unit,3
23865,agent,unit,1
23866,agent,unit,1
23869,agent,unit,2
11845,agent,unit,3
11846,agent,unit,4
11840,agent,unit,3
11841,agent,unit,2
11843,agent,unit,2
11844,agent,unit,2
23894,agent,unit,2
23895,agent,unit,1
23896,agent,unit,4
23897,agent,unit,2
23898,agent,unit,2
23899,agent,unit,4
23900,agent,unit,1
23901,agent,unit,2
23902,agent,unit,3
23903,agent,unit,2
23904,agent,unit,1
23905,agent,unit,2
23906,agent,unit,3
23907,agent,unit,4
23908,agent,unit,2
23909,agent,unit,3
23910,agent,unit,2
23911,agent,unit,2
23912,agent,unit,3
23913,agent,unit,2
23914,agent,unit,2
23915,agent,unit,2
23916,agent,unit,2
23917,agent,unit,4
23918,agent,unit,2
23919,agent,unit,3
23920,agent,unit,3
23921,agent,unit,3
23922,agent,unit,2
23925,agent,unit,4
11842,agent,unit,3
23928,agent,unit,3
74,agent,unit,2
11849,agent,unit,3
23948,agent,unit,4
23949,agent,unit,2
23950,agent,unit,3
23951,agent,unit,3
23952,agent,unit,3
23953,agent,unit,1
23954,agent,unit,3
23955,agent,unit,2
23956,agent,unit,3
23957,agent,unit,3
23958,agent,unit,3
23959,agent,unit,3
23960,agent,unit,3
23961,agent,unit,3
23962,agent,unit,3
23963,agent,unit,3
23964,agent,unit,2
23965,agent,unit,3
23966,agent,unit,3
75,agent,unit,3
23967,agent,unit,3
23968,agent,unit,3
23969,agent,unit,3
23970,agent,unit,2
23971,agent,unit,3
23972,agent,unit,3
23973,agent,unit,2
23975,agent,unit,1
11851,agent,unit,3
11850,agent,unit,3
23976,agent,unit,3
